ID,Paper,No,Cell,Type,Phase,Genl,Ion,Charge,Irmods,LET,E,alpha_x,beta_x,alpha_l,beta_l
6,folkard96,1,V79,n,a,5.6,1H,1,m,10.1,3.66,0.13,0.048,0.32,0.039
6,folkard96,2,V79,n,a,5.6,1H,1,m,17.8,1.83,0.13,0.048,0.45,0.028
6,folkard96,3,V79,n,a,5.6,1H,1,m,27.6,1.07,0.13,0.048,0.74,0.011
6,folkard96,4,V79,n,a,5.6,2H,1,m,18.5,1.7,0.13,0.048,0.43,0.055
6,folkard96,5,V79,n,a,5.6,2H,1,m,26.3,1.07,0.13,0.048,0.76,0.013
6,folkard96,6,V79,n,a,5.6,2H,1,m,36.1,0.7,0.13,0.048,1.1,0
6,folkard96,7,V79,n,a,5.6,2H,1,m,49.8,0.465,0.13,0.048,1.23,0
6,folkard96,8,V79,n,a,5.6,3He,2,m,58.9,2.3,0.13,0.048,1.24,0
6,folkard96,9,V79,n,a,5.6,3He,2,m,88.3,1.39,0.13,0.048,1.44,0
6,folkard96,10,V79,n,a,5.6,3He,2,m,105.8,1.13,0.13,0.048,1.33,0
7,eguchi96,1,irs1,n,a,5.6,4He,2,m,18,9.97,0.747,0.029,0.693,0.012
7,eguchi96,2,irs2,n,a,5.6,4He,2,m,18,9.97,0.611,0.06,0.793,0.034
7,eguchi96,3,L5178Y,n,a,5.6,4He,2,m,18,9.97,0.134,0.037,0.495,0.084
7,eguchi96,4,M10,n,a,5.6,4He,2,m,18,9.97,1.183,0.028,1.18,0.742
7,eguchi96,5,L5178Y,n,a,5.6,4He,2,m,47,3.1,0.134,0.037,1.473,0
7,eguchi96,6,M10,n,a,5.6,4He,2,m,47,3.1,1.183,0.028,2.79,0
7,eguchi96,7,irs1,n,a,5.6,12C,6,m,235,6.43,0.747,0.029,1.39,0
7,eguchi96,8,irs2,n,a,5.6,12C,6,m,235,6.43,0.611,0.06,1.42,0
7,eguchi96,9,L5178Y,n,a,5.6,12C,6,m,74,26.6,0.134,0.037,1.7,0
7,eguchi96,10,M10,n,a,5.6,12C,6,m,74,26.6,1.183,0.028,3.733,0
7,eguchi96,11,L5178Y,n,a,5.6,12C,6,m,235,6.43,0.134,0.037,1.7,0
7,eguchi96,12,M10,n,a,5.6,12C,6,m,235,6.43,1.183,0.028,2.417,0
7,eguchi96,13,LTA,n,a,5.6,20Ne,10,m,62,123.2,0.0037,0.067,1.076,0.082
7,eguchi96,14,LTA,n,a,5.6,20Ne,10,m,84,81.8,0.0037,0.067,1.527,0
7,eguchi96,15,LTA,n,a,5.6,20Ne,10,m,108,59.2,0.0037,0.067,1.456,0
7,eguchi96,16,LTA,n,a,5.6,20Ne,10,m,205,26.6,0.0037,0.067,1.144,0
7,eguchi96,17,LTA,n,a,5.6,20Ne,10,m,327,14.7,0.0037,0.067,0.577,0
7,eguchi96,18,SL3-147,n,a,5.6,20Ne,10,m,62,123.2,1.739,0.056,2.526,0
7,eguchi96,19,SL3-147,n,a,5.6,20Ne,10,m,84,81.8,1.739,0.056,2.477,0
7,eguchi96,20,SL3-147,n,a,5.6,20Ne,10,m,108,59.2,1.739,0.056,2.36,0
7,eguchi96,21,SL3-147,n,a,5.6,20Ne,10,m,205,26.6,1.739,0.056,1.859,0
7,eguchi96,22,SL3-147,n,a,5.6,20Ne,10,m,327,14.7,1.739,0.056,0.909,0
8,suzuki97,1,HE20,n,G1/G0,6,20Ne,10,m,63,120.3,0.113,0.168,1.386,0.104
