Cell,Type,Phase,Genl,Ion,Charge,Irmods,LET,E,RBE
T1,n,a,5.6,40Ar,18,m,81.0,680.0,2.0941
T1,n,a,5.6,40Ar,18,m,91.0,500.0,2.4729
T1,n,a,5.6,40Ar,18,m,117.0,290.0,2.651
T1,n,a,5.6,40Ar,18,m,144.0,200.0,2.6441
T1,n,a,5.6,40Ar,18,m,184.0,140.0,2.4839
T1,n,a,5.6,40Ar,18,m,245.0,95.0,2.2132
T1,n,a,5.6,40Ar,18,m,328.0,65.0,1.9754
T1,n,a,5.6,40Ar,18,m,640.0,27.0,1.5164
CHO-10B,n,a,5.6,4He,2,m,125.0,0.75,4.1942
HS-23,n,a,5.6,4He,2,m,136.0,0.65,3.5594
C3H_10T1/2,n,a,5.6,4He,2,m,121.0,0.8,3.5556
V79,n,a,5.6,4He,2,m,124.0,0.77,4.3791
AG1522,n,a,6.0,4He,2,m,121.0,0.8,4.0023
HeLa,n,a,6.0,1H,1,m,20.27,1.38,1.2936
HeLa,n,a,6.0,1H,1,m,23.915,1.16,1.563
HeLa,n,a,6.0,4He,2,m,20.475,8.8,1.143
HeLa,n,a,6.0,4He,2,m,23.045,7.605,1.3566
HeLa_S3,n,a,6.0,1H,1,m,20.27,1.38,1.1636
HeLa_S3,n,a,6.0,1H,1,m,23.915,1.16,1.5083
HeLa_S3,n,a,6.0,4He,2,m,20.475,8.8,1.1197
HeLa_S3,n,a,6.0,4He,2,m,23.045,7.605,1.2051
C3H_10T1/2,n,a,5.6,1H,1,m,22.09,1.27,1.2966
C3H_10T1/2,n,a,5.6,4He,2,m,21.76,8.2,1.4253
V79,n,a,5.6,1H,1,m,10.1,3.66,1.2377
V79,n,a,5.6,1H,1,m,17.8,1.83,1.3976
V79,n,a,5.6,1H,1,m,27.6,1.07,1.914
V79,n,a,5.6,2H,1,m,18.5,1.7,1.5623
V79,n,a,5.6,2H,1,m,26.3,1.07,1.9753
V79,n,a,5.6,2H,1,m,36.1,0.7,2.725
V79,n,a,5.6,2H,1,m,49.8,0.465,3.0469
V79,n,a,5.6,3He,2,m,58.9,2.3,3.0717
V79,n,a,5.6,3He,2,m,88.3,1.39,3.567
V79,n,a,5.6,3He,2,m,105.8,1.13,3.2946
irs1,n,a,5.6,4He,2,m,18.0,9.97,0.883
irs2,n,a,5.6,4He,2,m,18.0,9.97,1.121
L5178Y,n,a,5.6,4He,2,m,18.0,9.97,2.0524
M10,n,a,5.6,4He,2,m,18.0,9.97,1.6387
L5178Y,n,a,5.6,4He,2,m,47.0,3.1,4.0198
M10,n,a,5.6,4He,2,m,47.0,3.1,2.2588
irs1,n,a,5.6,12C,6,m,235.0,6.43,1.6796
irs2,n,a,5.6,12C,6,m,235.0,6.43,1.8054
L5178Y,n,a,5.6,12C,6,m,74.0,26.6,4.6392
M10,n,a,5.6,12C,6,m,74.0,26.6,3.0222
L5178Y,n,a,5.6,12C,6,m,235.0,6.43,4.6392
M10,n,a,5.6,12C,6,m,235.0,6.43,1.9569
LTA,n,a,5.6,20Ne,10,m,62.0,123.2,3.1157
LTA,n,a,5.6,20Ne,10,m,84.0,81.8,3.8698
LTA,n,a,5.6,20Ne,10,m,108.0,59.2,3.6899
LTA,n,a,5.6,20Ne,10,m,205.0,26.6,2.8994
LTA,n,a,5.6,20Ne,10,m,327.0,14.7,1.4631
SL3-147,n,a,5.6,20Ne,10,m,62.0,123.2,1.3955
SL3-147,n,a,5.6,20Ne,10,m,84.0,81.8,1.3684
SL3-147,n,a,5.6,20Ne,10,m,108.0,59.2,1.3038
SL3-147,n,a,5.6,20Ne,10,m,205.0,26.6,1.027
SL3-147,n,a,5.6,20Ne,10,m,327.0,14.7,0.5023
HE20,n,G1/G0,6.0,20Ne,10,m,63.0,120.3,2.2633
HE20,n,G1/G0,6.0,20Ne,10,m,105.0,61.4,2.7376
HE20,n,G1/G0,6.0,20Ne,10,m,131.0,46.7,3.3525
HE20,n,G1/G0,6.0,20Ne,10,m,191.0,29.0,3.1689
HE20,n,G1/G0,6.0,20Ne,10,m,234.0,22.7,2.6829
HE20,n,G1/G0,6.0,20Ne,10,m,285.0,17.8,2.3379
HE20,n,G1/G0,6.0,20Ne,10,m,335.0,14.3,2.1184
C3H1OT1/2,n,a,5.6,1H,1,m,11.0,3.18,1.5868
C3H1OT1/2,n,a,5.6,1H,1,m,19.7,1.46,1.6765
C3H1OT1/2,n,a,5.6,1H,1,m,28.8,0.87,2.0776
C3H1OT1/2,n,a,5.6,1H,1,m,31.6,0.77,1.9354
C3H1OT1/2,n,a,5.6,1H,1,m,32.5,0.74,2.1662
C3H1OT1/2,n,a,5.6,1H,1,m,33.2,0.72,2.9455
C3H1OT1/2,n,a,5.6,2H,1,m,6.65,4.89,1.6359
C3H1OT1/2,n,a,5.6,2H,1,m,9.15,3.19,1.8292
NB1RGB,n,a,6.0,12C,6,m,20.0,144.0,1.2394
NB1RGB,n,a,6.0,12C,6,m,40.0,57.3,1.3311
NB1RGB,n,a,6.0,12C,6,m,81.0,23.8,2.1592
NB1RGB,n,a,6.0,12C,6,m,105.0,17.4,2.3245
ONS-76,t,a,6.0,12C,6,m,20.0,144.0,1.7949
ONS-76,t,a,6.0,12C,6,m,40.0,57.3,1.9753
ONS-76,t,a,6.0,12C,6,m,81.0,23.8,2.7242
ONS-76,t,a,6.0,12C,6,m,105.0,17.4,2.7854
A-172,t,a,6.0,12C,6,m,20.0,144.0,1.6069
A-172,t,a,6.0,12C,6,m,40.0,57.3,1.7673
A-172,t,a,6.0,12C,6,m,81.0,23.8,2.4575
A-172,t,a,6.0,12C,6,m,105.0,17.4,3.1162
U251MG,t,a,6.0,12C,6,m,20.0,144.0,1.6501
U251MG,t,a,6.0,12C,6,m,40.0,57.3,2.0577
U251MG,t,a,6.0,12C,6,m,81.0,23.8,3.0981
U251MG,t,a,6.0,12C,6,m,105.0,17.4,3.0498
TK-1,t,a,6.0,12C,6,m,20.0,144.0,0.9659
TK-1,t,a,6.0,12C,6,m,40.0,57.3,1.9233
TK-1,t,a,6.0,12C,6,m,81.0,23.8,2.9852
TK-1,t,a,6.0,12C,6,m,105.0,17.4,3.1584
A172,t,a,6.0,12C,6,m,20.0,144.0,1.5628
A172,t,a,6.0,12C,6,m,40.0,57.3,1.6518
A172,t,a,6.0,12C,6,m,80.0,24.1,1.8989
TK1,t,a,6.0,12C,6,m,20.0,144.0,1.6973
TK1,t,a,6.0,12C,6,m,40.0,57.3,2.0649
TK1,t,a,6.0,12C,6,m,80.0,24.1,3.2435
V79,n,a,5.6,12C,6,m,13.7,266.4,1.3693
V79,n,a,5.6,12C,6,m,16.8,190.7,1.3503
V79,n,a,5.6,12C,6,m,32.4,76.9,1.5621
V79,n,a,5.6,12C,6,m,153.5,11.0,3.4182
V79,n,a,5.6,12C,6,m,275.1,5.4,3.1271
V79,n,a,5.6,12C,6,m,339.1,4.2,2.5631
V79,n,a,5.6,12C,6,m,482.7,2.4,1.9889
CHO-K1,n,a,5.6,12C,6,m,13.7,266.4,1.517
CHO-K1,n,a,5.6,12C,6,m,16.8,190.7,1.5292
CHO-K1,n,a,5.6,12C,6,m,32.4,76.9,1.8554
CHO-K1,n,a,5.6,12C,6,m,103.0,18.0,3.7063
CHO-K1,n,a,5.6,12C,6,m,153.5,11.0,4.2582
CHO-K1,n,a,5.6,12C,6,m,275.1,5.4,3.246
CHO-K1,n,a,5.6,12C,6,m,339.1,4.2,2.6454
CHO-K1,n,a,5.6,12C,6,m,482.7,2.4,2.1305
xrs5,n,a,5.6,12C,6,m,13.7,266.4,2.07
xrs5,n,a,5.6,12C,6,m,32.4,76.9,1.5929
xrs5,n,a,5.6,12C,6,m,153.5,11.0,1.4825
xrs5,n,a,5.6,12C,6,m,275.1,5.4,1.3689
xrs5,n,a,5.6,12C,6,m,339.1,4.2,1.0872
xrs5,n,a,5.6,12C,6,m,482.7,2.4,0.9419
V79,n,a,5.6,3He,2,m,18.6,10.1,1.3681
V79,n,a,5.6,3He,2,m,23.0,7.73,1.4041
V79,n,a,5.6,3He,2,m,23.8,7.39,1.5831
V79,n,a,5.6,3He,2,m,24.0,7.3,1.4205
V79,n,a,5.6,3He,2,m,29.9,5.5,1.4863
V79,n,a,5.6,3He,2,m,38.1,4.07,2.1768
V79,n,a,5.6,3He,2,m,39.2,3.92,2.1053
V79,n,a,5.6,3He,2,m,39.4,3.9,2.004
V79,n,a,5.6,3He,2,m,50.0,2.83,2.6202
V79,n,a,5.6,3He,2,m,51.9,2.72,2.4308
V79,n,a,5.6,3He,2,m,52.3,2.7,2.582
V79,n,a,5.6,3He,2,m,58.9,2.33,3.0363
V79,n,a,5.6,3He,2,m,61.9,2.16,2.8641
V79,n,a,5.6,3He,2,m,73.9,1.65,3.6654
V79,n,a,5.6,3He,2,m,74.6,1.62,4.1372
V79,n,a,5.6,3He,2,m,90.8,1.27,3.9523
V79,n,a,5.6,12C,6,m,22.5,126.0,1.2562
V79,n,a,5.6,12C,6,m,30.0,82.3,1.474
V79,n,a,5.6,12C,6,m,31.0,78.6,1.7383
V79,n,a,5.6,12C,6,m,40.1,55.6,2.3501
V79,n,a,5.6,12C,6,m,40.6,54.8,2.1567
V79,n,a,5.6,12C,6,m,50.3,41.7,2.7632
V79,n,a,5.6,12C,6,m,57.6,35.4,2.3657
V79,n,a,5.6,12C,6,m,60.0,33.5,2.6697
V79,n,a,5.6,12C,6,m,78.5,25.2,3.2907
V79,n,a,5.6,12C,6,m,80.6,24.5,3.13
V79,n,a,5.6,12C,6,m,88.0,21.9,3.3527
V79,n,a,5.6,12C,6,m,102.0,18.1,3.628
V79,n,a,5.6,12C,6,m,117.0,14.9,4.186
V79,n,a,5.6,12C,6,m,127.0,13.9,3.451
V79,n,a,5.6,12C,6,m,137.0,12.9,4.5383
V79,n,a,5.6,12C,6,m,142.0,12.4,4.4494
V79,n,a,5.6,12C,6,m,206.0,7.6,4.0658
V79,n,a,5.6,12C,6,m,232.0,6.37,3.2749
V79,n,a,5.6,12C,6,m,255.0,5.64,3.2907
V79,n,a,5.6,12C,6,m,276.0,5.09,3.6281
V79,n,a,5.6,12C,6,m,360.0,3.42,3.2907
V79,n,a,5.6,12C,6,m,432.0,2.55,2.5939
V79,n,a,5.6,12C,6,m,493.0,1.98,2.5724
V79,n,a,5.6,12C,6,m,502.0,1.92,2.3943
V79,n,a,5.6,20Ne,10,m,62.1,130.0,2.204
V79,n,a,5.6,20Ne,10,m,62.2,129.0,2.2313
V79,n,a,5.6,20Ne,10,m,80.0,84.2,2.4651
V79,n,a,5.6,20Ne,10,m,84.6,78.6,2.5913
V79,n,a,5.6,20Ne,10,m,96.9,68.1,2.9978
V79,n,a,5.6,20Ne,10,m,110.0,57.5,2.8183
V79,n,a,5.6,20Ne,10,m,146.0,38.4,3.5193
